Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/12/13,39,PM2.5,Southwick,21-111-0043,AQS,0,39,7,9,39,.
3/13/13,37,PM2.5,Southwick,21-111-0043,AQS,0,37,4,8,37,.
3/14/13,52,PM2.5,Watson Lane,21-111-0051,AQS,3,42,29,8,52,.
3/15/13,61,PM2.5,Southwick,21-111-0043,AQS,7,45,23,26,61,.
3/16/13,68,PM2.5,Watson Lane,21-111-0051,AQS,6,47,17,25,68,.
3/17/13,53,PM2.5,Watson Lane,21-111-0051,AQS,3,30,10,8,53,.
3/18/13,40,PM2.5,Southwick,21-111-0043,AQS,7,25,6,8,40,.
3/19/13,44,PM2.5,Watson Lane,21-111-0051,AQS,1,40,6,9,44,.
3/20/13,44,PM2.5,Watson Lane,21-111-0051,AQS,1,39,6,11,44,.
3/21/13,47,PM2.5,Watson Lane,21-111-0051,AQS,.,37,7,9,47,.
3/22/13,56,PM2.5,Southwick,21-111-0043,AQS,.,38,11,16,56,.
3/23/13,59,PM2.5,Watson Lane,21-111-0051,AQS,.,44,23,14,59,.
3/24/13,60,PM2.5,Southwick,21-111-0043,AQS,.,37,10,10,60,.
3/25/13,38,PM2.5,Watson Lane,21-111-0051,AQS,.,33,6,6,38,.
3/26/13,37,Ozone,BUCKNER,21-185-0004,AQS,.,37,7,6,32,.
3/27/13,55,PM2.5,Watson Lane,21-111-0051,AQS,.,40,9,9,55,.
3/28/13,55,PM2.5,Watson Lane,21-111-0051,AQS,.,45,13,19,55,.
3/29/13,62,PM2.5,Southwick,21-111-0043,AQS,.,48,52,25,62,.
3/30/13,60,PM2.5,Southwick,21-111-0043,AQS,.,54,16,18,60,.
3/31/13,63,PM2.5,Watson Lane,21-111-0051,AQS,.,40,10,15,63,.
4/1/13,48,Ozone,Bates,21-111-0027,AQS,.,48,6,13,43,.
4/2/13,46,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,46,16,10,40,.
4/3/13,49,PM2.5,Watson Lane,21-111-0051,AQS,.,46,41,15,49,.
4/4/13,49,PM2.5,Watson Lane,21-111-0051,AQS,.,44,27,20,49,.
4/5/13,71,Ozone,Bates,21-111-0027,AQS,.,71,13,30,65,.
4/6/13,67,Ozone,Bates,21-111-0027,AQS,.,67,17,26,64,.
