Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,.,19,10,48,33
1/2/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,18,.,34,19,55,37
1/3/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,19,.,10,21,69,28
1/4/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,9,13,58,17
1/5/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,14,10,60,22
1/6/09,54,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,11,8,54,20
1/7/09,46,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,11,11,46,25
1/8/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,13,12,60,28
1/9/09,67,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,23,19,67,39
1/10/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,.,16,17,60,33
1/11/09,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,10,43,16
1/12/09,62,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,37,15,62,32
1/13/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,29,15,55,23
1/14/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,.,41,15,48,31
1/15/09,35,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,11,35,13
1/16/09,173,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,8,.,173,8,42,38
1/17/09,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,.,51,18,52,27
1/18/09,42,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,11,42,24
1/19/09,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,36,12,52,22
1/20/09,105,SO2,Fire Arms Training,21-111-1041,AQS,8,.,105,13,60,34
1/21/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,33,21,69,40
1/22/09,65,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,39,23,65,47
1/23/09,82,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,60,24,82,45
1/24/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,21,10,58,20
1/25/09,62,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,8,.,36,15,62,18
1/26/09,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,41,16,59,22
1/27/09,62,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,27,10,62,26
1/28/09,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,13,12,57,28
1/29/09,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,11,18,68,24
1/30/09,66,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,.,11,15,66,45
1/31/09,86,PM2.5,CANNONS LANE,21-111-0067,AQS,20,.,65,26,86,63
2/1/09,46,SO2,Fire Arms Training,21-111-1041,AQS,10,.,46,15,41,44
2/2/09,50,NO2,,21-111-1021,AQS,10,.,9,8,28,50
2/3/09,65,NO2,,21-111-1021,AQS,9,.,9,13,49,65
2/4/09,37,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,14,10,37,19
2/5/09,127,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,127,13,47,53
2/6/09,54,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,40,24,54,52
2/7/09,42,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,36,18,42,16
2/8/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,19,19,55,36
2/9/09,71,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,.,37,30,71,40
2/10/09,49,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,19,14,49,25
2/11/09,90,SO2,Watson Lane,21-111-0051,AQS,8,.,90,13,35,19
2/12/09,47,NO2,,21-111-1021,AQS,14,.,21,13,40,47
2/13/09,45,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,10,14,45,41
2/14/09,48,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,13,13,48,38
2/15/09,38,PM2.5,,18-175-9000,AQS,8,.,20,8,38,25
2/16/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,14,13,58,40
2/17/09,66,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,.,66,18,55,42
2/18/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,20,16,48,18
2/19/09,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,13,.,9,9,39,19
2/20/09,49,SO2,Watson Lane,21-111-0051,AQS,13,.,49,11,40,43
2/21/09,71,SO2,Watson Lane,21-111-0051,AQS,13,.,71,13,53,35
2/22/09,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,11,11,52,23
2/23/09,91,SO2,Fire Arms Training,21-111-1041,AQS,10,.,91,13,52,35
2/24/09,66,PM2.5,CANNONS LANE,21-111-0067,AQS,9,.,14,19,66,44
2/25/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,51,30,69,39
2/26/09,79,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,17,25,79,38
2/27/09,43,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,11,.,13,10,43,16
2/28/09,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,14,9,39,7
3/1/09,34,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,34,11,8,34,5
3/2/09,32,Ozone,BUCKNER,21-185-0004,AQS,10,32,13,9,27,10
3/3/09,66,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,10,32,66,13,40,34
3/4/09,89,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,42,89,17,45,44
3/5/09,56,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,48,36,24,56,37
3/6/09,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,47,17,27,64,19
3/7/09,54,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,37,31,21,54,18
3/8/09,45,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,35,21,20,45,10
3/9/09,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,35,11,15,43,25
3/10/09,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,35,41,21,55,30
3/11/09,35,Ozone,Watson Lane,21-111-0051,AQS,10,35,7,7,25,11
3/12/09,47,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,25,23,9,47,18
3/13/09,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,32,30,17,58,25
3/14/09,65,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,23,16,18,65,26
3/15/09,60,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,11,25,16,15,60,9
3/16/09,72,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,16,31,39,24,72,38
3/17/09,101,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,20,49,101,37,100,45
3/18/09,80,SO2,Watson Lane,21-111-0051,AQS,18,54,80,26,71,38
3/19/09,44,Ozone,Watson Lane,21-111-0051,AQS,14,44,26,9,30,28
3/20/09,40,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,38,30,14,40,28
3/21/09,113,SO2,PSI/Duke Energy- Gallagher Network/ Bald Knob,18-043-0004,AQS,9,46,113,16,52,42
3/22/09,57,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,54,16,21,57,32
3/23/09,61,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,6,58,14,29,61,10
3/24/09,66,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,54,11,37,66,42
3/25/09,40,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,36,40,17,39,27
3/26/09,51,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,31,17,18,51,26
3/27/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,34,14,19,48,22
3/28/09,36,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,34,13,11,36,22
3/29/09,34,SO2,Watson Lane,21-111-0051,AQS,5,30,34,7,22,22
3/30/09,106,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,43,106,16,50,28
3/31/09,47,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,5,47,31,16,37,20
4/1/09,51,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,48,51,14,38,37
4/2/09,44,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,6,44,17,17,38,41
4/3/09,45,Ozone,Watson Lane,21-111-0051,AQS,7,45,7,11,34,26
4/4/09,54,Ozone,Bates,21-111-0027,AQS,10,54,39,14,52,34
4/5/09,72,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,61,72,18,54,22
4/6/09,32,Ozone,Watson Lane,21-111-0051,AQS,5,32,10,6,22,10
4/7/09,44,Ozone,Watson Lane,21-111-0051,AQS,5,44,10,8,24,31
4/8/09,110,SO2,Watson Lane,21-111-0051,AQS,8,77,110,24,59,51
4/9/09,111,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,61,111,29,75,50
4/10/09,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,44,10,16,54,25
4/11/09,49,Ozone,Watson Lane,21-111-0051,AQS,7,49,11,9,30,12
4/12/09,51,Ozone,Watson Lane,21-111-0051,AQS,6,51,11,7,21,11
4/13/09,43,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,7,43,24,12,39,35
4/14/09,40,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,29,9,11,40,21
4/15/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,29,14,16,58,13
4/16/09,63,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,8,44,19,20,63,25
4/17/09,77,Ozone,Watson Lane,21-111-0051,AQS,10,77,41,26,59,42
4/18/09,87,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,13,87,60,25,77,36
4/19/09,57,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,41,13,12,57,26
4/20/09,45,Ozone,Watson Lane,21-111-0051,AQS,7,45,19,8,28,24
4/21/09,34,Ozone,Watson Lane,21-111-0051,AQS,7,34,16,8,19,19
4/22/09,64,Ozone,Watson Lane,21-111-0051,AQS,10,64,14,16,28,48
4/23/09,61,Ozone,Watson Lane,21-111-0051,AQS,13,61,21,22,49,45
4/24/09,81,SO2,Watson Lane,21-111-0051,AQS,8,54,81,24,41,18
4/25/09,51,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,11,51,14,26,49,32
4/26/09,66,SO2,PSI/Duke Energy- Gallagher Network/ Bald Knob,18-043-0004,AQS,14,58,66,25,56,25
4/27/09,72,SO2,PSI/Duke Energy- Gallagher Network/ Bald Knob,18-043-0004,AQS,9,46,72,21,53,11
4/28/09,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,39,23,19,55,18
4/29/09,131,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,43,131,15,55,25
4/30/09,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,41,14,21,54,19
5/1/09,37,Ozone,Bates,21-111-0027,AQS,8,37,13,11,34,14
5/2/09,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,38,20,12,41,19
5/3/09,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,43,7,15,56,15
5/4/09,66,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,41,36,23,66,30
5/5/09,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,47,56,23,59,39
5/6/09,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,29,7,17,54,23
5/7/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,.,38,26,21,60,33
5/8/09,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,33,30,16,55,28
5/9/09,43,Ozone,Watson Lane,21-111-0051,AQS,10,43,6,14,23,21
5/10/09,42,Ozone,Watson Lane,21-111-0051,AQS,9,42,30,11,27,24
5/11/09,47,SO2,Fire Arms Training,21-111-1041,AQS,9,44,47,12,28,25
5/12/09,54,Ozone,Watson Lane,21-111-0051,AQS,8,54,13,18,41,26
5/13/09,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,41,44,19,54,15
5/14/09,41,Ozone,Watson Lane,21-111-0051,AQS,10,41,16,18,39,29
5/15/09,123,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,44,123,21,68,20
5/16/09,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,37,40,11,55,25
5/17/09,47,Ozone,Watson Lane,21-111-0051,AQS,7,47,40,8,22,12
5/18/09,51,Ozone,Watson Lane,21-111-0051,AQS,7,51,10,12,31,35
5/19/09,84,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,8,84,14,20,51,41
5/20/09,100,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,97,100,23,51,37
5/21/09,92,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,84,92,23,51,37
5/22/09,133,Ozone,Watson Lane,21-111-0051,AQS,11,133,129,30,61,33
5/23/09,114,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,51,114,27,69,26
5/24/09,72,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,39,72,21,.,20
5/25/09,40,PM2.5,,18-175-9000,AQS,9,30,6,9,40,16
5/26/09,76,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,32,76,12,.,10
5/27/09,77,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,34,77,14,42,15
5/28/09,51,PM2.5,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,9,42,49,14,51,18
5/29/09,51,SO2,Fire Arms Training,21-111-1041,AQS,10,41,51,14,36,15
5/30/09,67,SO2,Watson Lane,21-111-0051,AQS,10,51,67,20,56,20
5/31/09,80,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,9,80,56,16,46,32
6/1/09,101,Ozone,BUCKNER,21-185-0004,AQS,9,101,79,30,60,29
6/2/09,115,Ozone,Bates,21-111-0027,AQS,9,115,49,29,65,25
6/3/09,66,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,46,29,21,66,24
6/4/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,25,14,11,48,19
6/5/09,64,Ozone,Watson Lane,21-111-0051,AQS,11,64,19,18,30,43
6/6/09,100,Ozone,Watson Lane,21-111-0051,AQS,15,100,16,23,57,35
6/7/09,77,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,14,77,30,25,62,31
6/8/09,69,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,50,47,27,69,22
6/9/09,80,Ozone,Bates,21-111-0027,AQS,10,80,29,27,71,28
6/10/09,64,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,36,20,23,64,29
6/11/09,37,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,33,20,12,37,17
6/12/09,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,35,16,18,55,25
6/13/09,64,Ozone,Bates,21-111-0027,AQS,10,64,55,21,62,21
6/14/09,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,13,45,34,25,68,21
6/15/09,66,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,44,27,24,66,18
6/16/09,61,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,34,20,17,61,15
6/17/09,57,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,46,9,24,57,31
6/18/09,57,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,6,43,57,19,56,24
6/19/09,61,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,58,31,27,61,22
6/20/09,47,Ozone,Bates,21-111-0027,AQS,5,47,14,16,36,16
6/21/09,61,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,6,48,14,19,61,19
6/22/09,101,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,49,101,19,54,24
6/23/09,100,Ozone,Watson Lane,21-111-0051,AQS,6,100,33,28,64,32
6/24/09,150,Ozone,Watson Lane,21-111-0051,AQS,7,150,110,41,75,38
6/25/09,147,Ozone,Bates,21-111-0027,AQS,8,147,23,48,94,33
6/26/09,73,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,61,36,25,73,24
6/27/09,119,Ozone,Bates,21-111-0027,AQS,9,119,36,24,66,21
6/28/09,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,49,17,19,52,29
6/29/09,61,Ozone,Watson Lane,21-111-0051,AQS,6,61,14,23,38,22
6/30/09,46,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,8,40,9,19,46,25
7/1/09,35,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,33,7,19,35,25
7/2/09,33,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,23,6,12,33,20
7/3/09,46,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,42,4,20,46,31
7/4/09,88,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,30,44,40,88,29
7/5/09,51,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,27,13,14,51,10
7/6/09,82,SO2,Fire Arms Training,21-111-1041,AQS,13,54,82,21,56,18
7/7/09,58,Ozone,Bates,21-111-0027,AQS,14,58,20,22,50,27
7/8/09,90,Ozone,Watson Lane,21-111-0051,AQS,11,90,14,19,52,21
7/9/09,94,SO2,Fire Arms Training,21-111-1041,AQS,13,87,94,29,66,25
7/10/09,85,SO2,Watson Lane,21-111-0051,AQS,16,74,85,31,82,27
7/11/09,88,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,44,61,28,88,16
7/12/09,63,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,13,48,55,16,63,19
7/13/09,64,Ozone,Watson Lane,21-111-0051,AQS,13,64,39,19,43,18
7/14/09,77,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,77,71,22,53,20
7/15/09,63,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,38,24,25,63,25
7/16/09,74,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,46,40,27,74,24
7/17/09,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,16,35,11,13,43,30
7/18/09,33,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,27,7,14,33,20
7/19/09,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,18,28,23,15,39,22
7/20/09,138,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,17,49,138,24,56,26
7/21/09,70,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,58,70,28,65,24
7/22/09,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,33,6,14,57,23
7/23/09,61,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,19,48,7,18,61,25
7/24/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,19,49,55,30,69,29
7/25/09,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,41,37,17,54,21
7/26/09,46,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,41,36,17,46,24
7/27/09,56,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,44,27,21,56,30
7/28/09,68,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,36,21,26,68,28
7/29/09,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,39,34,14,53,20
7/30/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,35,40,20,58,25
7/31/09,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,44,33,16,45,25
8/1/09,75,SO2,Watson Lane,21-111-0051,AQS,11,44,75,22,60,22
8/2/09,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,33,7,12,45,22
8/3/09,59,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,49,39,22,59,24
8/4/09,43,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,34,27,14,43,34
8/5/09,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,41,31,27,68,25
8/6/09,74,SO2,Fire Arms Training,21-111-1041,AQS,14,50,74,23,56,24
8/7/09,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,48,9,20,53,25
8/8/09,94,SO2,Watson Lane,21-111-0051,AQS,13,61,94,33,88,16
8/9/09,120,SO2,Watson Lane,21-111-0051,AQS,13,44,120,30,82,17
8/10/09,119,SO2,Watson Lane,21-111-0051,AQS,9,45,119,23,63,25
8/11/09,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,41,29,20,60,17
8/12/09,108,SO2,Fire Arms Training,21-111-1041,AQS,10,48,108,15,50,28
8/13/09,61,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,58,13,25,61,18
8/14/09,133,Ozone,Watson Lane,21-111-0051,AQS,11,133,82,31,72,19
8/15/09,105,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,11,105,61,31,81,25
8/16/09,80,SO2,PSI/Duke Energy- Gallagher Network/ Bald Knob,18-043-0004,AQS,11,46,80,21,72,18
8/17/09,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,35,51,24,58,17
8/18/09,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,33,24,19,57,15
8/19/09,104,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,41,104,17,64,15
8/20/09,50,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,46,33,13,50,15
8/21/09,62,SO2,Watson Lane,21-111-0051,AQS,10,37,62,15,36,22
8/22/09,36,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,25,6,8,36,8
8/23/09,39,SO2,Watson Lane,21-111-0051,AQS,11,26,39,12,25,13
8/24/09,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,35,19,16,45,18
8/25/09,71,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,71,26,31,70,34
8/26/09,80,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,80,75,34,80,32
8/27/09,79,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,46,23,31,79,21
8/28/09,75,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,45,37,25,75,17
8/29/09,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,44,7,17,60,11
8/30/09,30,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,11,30,11,7,26,10
8/31/09,36,Ozone,BUCKNER,21-185-0004,AQS,11,36,13,13,33,24
9/1/09,51,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,46,11,17,51,24
9/2/09,62,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,45,11,27,62,25
9/3/09,63,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,43,6,26,63,32
9/4/09,71,Ozone,Bates,21-111-0027,AQS,14,71,11,28,68,27
9/5/09,75,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,74,9,28,75,25
9/6/09,74,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,49,11,26,74,13
9/7/09,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,45,49,12,56,23
9/8/09,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,43,9,21,58,21
9/9/09,67,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,64,10,23,67,19
9/10/09,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,42,6,19,58,19
9/11/09,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,54,9,22,60,16
9/12/09,74,Ozone,BUCKNER,21-185-0004,AQS,15,74,24,22,62,19
9/13/09,54,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,14,54,19,17,52,17
9/14/09,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,54,9,26,57,25
9/15/09,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,54,13,34,72,25
9/16/09,74,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,47,13,32,74,18
9/17/09,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,46,9,26,58,27
9/18/09,70,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,39,24,30,70,29
